Date,Open,High,Low,Last,Close,Volume,Turnover (Lacs)
2017-08-28,575.5,581,570.55,573,574.1,905222,5219.2
2017-08-24,559,575.75,557.3,575.55,574.05,1866440,10617.68
2017-08-23,561.7,565,556.65,557.65,559.15,848822,4761.43
2017-08-22,562.05,567.65,558,560.4,559.25,848353,4772.55
2017-08-21,566.9,570,555.15,561.35,561.75,1222907,6854.23
2017-08-18,573.4,575.8,560.2,564.9,565.3,1680225,9516.51
2017-08-17,593.4,594,569.9,574,573.2,1422631,8264.28
2017-08-16,569.5,593.7,561.05,591.5,590.45,1838012,10631.41
2017-08-14,560,576,552.1,569.5,570.05,4029605,22916.22
2017-08-11,545,563.7,525.45,549.7,541.4,4337214,23631.87
2017-08-10,560,569.85,541.5,546.85,548.2,1217416,6779.39
2017-08-09,581,581,557.25,558,561.85,1801630,10219.68
2017-08-08,560.8,580,560.8,579.8,578.6,1367344,7827.2
2017-08-07,566.5,571.1,553,565.2,566.5,769606,4350.91
2017-08-04,551.9,571.7,543.05,568.3,568.7,1004233,5614.56
2017-08-03,568.55,575,553.8,555,557.15,1065451,6036.98
2017-08-02,562.85,570.9,560,567.5,568.55,664681,3758.63
2017-08-01,560.1,565.9,558.5,562.85,562.45,712732,4005.1
2017-07-31,567.55,568.95,556.8,561.9,560.1,753415,4220.59
2017-07-28,566.75,570.9,556.5,566.8,566.1,907951,5120.86
2017-07-27,573.7,579.4,565,566.9,568.7,1853099,10568.04
2017-07-26,564.7,577.45,563.5,574.6,575.45,864728,4929.51
2017-07-25,571,571.4,562.4,565,564.4,510032,2882.59
2017-07-24,564,575.5,562.1,570,569.75,873677,4988.84
2017-07-21,570,570,560.15,565.95,566.2,672906,3797.26
2017-07-20,569,577,562.65,570,571.9,1090882,6245.33
2017-07-19,560.2,569.45,560.2,567.8,568.25,761444,4316.67
2017-07-18,558,567,555.1,559.25,559.75,1319574,7415.72
2017-07-17,549,559,546.7,558,556.5,692893,3826.86
2017-07-14,544.25,551.15,540.85,547.65,548.05,960041,5255.66
2017-07-13,540.2,544.45,538.85,543.55,543.65,694180,3762.72
2017-07-12,539.45,543.5,537,539.05,539.95,1039208,5608.18
2017-07-11,550.5,552.65,536.05,539.5,538.45,1526837,8247.74
2017-07-10,550,551.95,546,548.75,549.2,123415,678.35
2017-07-07,542.6,552,541.5,545.5,547.15,893680,4906.67
2017-07-06,546.35,547.9,540.1,543,542.85,556426,3031.41
2017-07-05,546.1,547.8,541.45,546.35,545.9,833105,4542.43
2017-07-04,557.7,558,543.3,544.15,545.05,559358,3077.99
2017-07-03,559,559.9,548.85,552.5,551.85,490390,2715.19
2017-06-30,545,558.9,542.5,557.6,555.6,830751,4588.73
2017-06-29,538.45,546.95,534.25,546.9,543.75,1252382,6768.65
2017-06-28,535.4,538.65,531,536.65,536.85,601643,3219.5
2017-06-27,542.5,551.6,533.1,534.9,534.65,1038604,5603.66
2017-06-23,540.9,544,538.3,542.45,541.15,603986,3267.83
2017-06-22,540,545.55,539.05,540.15,540.15,750732,4066.21
2017-06-21,544.5,546,535.2,539.9,541,784293,4229.77
2017-06-20,539.75,549.5,536,547.5,547.85,774728,4219.93
2017-06-19,537.1,542.5,524,541.2,539.75,1723168,9140.99
2017-06-16,548,551.95,535.05,535.05,536.75,1127326,6087.56
2017-06-15,539.7,550.9,537.05,548,549.45,826366,4512.72
2017-06-14,551.5,554.5,536.35,539.15,539.9,1176535,6380.14
2017-06-13,553.35,555,546.55,550.45,551.55,946713,5235.63
2017-06-12,549,555.2,544.55,551.7,553.35,910344,5016.46
2017-06-09,554.5,555.8,545.25,549.05,551.1,867969,4774.91
2017-06-08,538.75,554.7,537.1,549.15,550.15,1396596,7656.58
2017-06-07,536.4,543.45,530.7,538.1,540.2,719071,3874.89
2017-06-06,537.7,539.55,522.35,537,534.65,765557,4057.95
2017-06-05,531.3,536.7,528,534.95,534.8,802335,4280.98
2017-06-02,517.7,533.9,517.7,531.3,530.05,2152367,11401.69
2017-06-01,519.7,529.9,513.05,514.6,515.55,1433241,7436.49
2017-05-31,514.8,520.1,505,519.4,516.35,1366315,7022.25
2017-05-30,504.8,517.6,501.4,510,510.5,1047968,5368.65
2017-05-29,492,507.5,488.9,505.95,505.35,4118338,20441.66
2017-05-26,483,504.75,480.2,491.25,488.9,7010307,34310.16
2017-05-25,522,525,496.4,504.7,504,4378940,22136.74
2017-05-24,531,536.35,514,521.3,519.65,1340656,7007.53
2017-05-23,558.6,558.8,531.25,532.95,533.2,1225772,6595.98
2017-05-22,567,567.7,553.1,555.75,563.1,948063,5339.97
2017-05-19,561.3,566.65,558.65,564.2,564.95,685662,3852.49
2017-05-18,559.3,564.95,556.8,560.9,560.1,2155599,12074.77
2017-05-17,565.1,566,560.05,561.05,562.35,895238,5031.28
2017-05-16,566.65,570,564,565.7,565.6,330195,1868.5
2017-05-15,567,572.45,561,566.65,569,606569,3446.36
2017-05-12,560.1,569.85,557.15,565.05,567.95,725246,4109.84
2017-05-11,562.45,565,558.3,559.45,561.95,566621,3182.35
2017-05-10,552.85,562.55,551.25,561.7,561.05,718502,4019.34
